"Country or Area";"Year";"Item";"Value"
"Thailand";"2019";"Gross Domestic Product (GDP)";"7817.0081035194"
"Timor-Leste";"2020";"Gross Domestic Product (GDP)";"1442.72746682645"
"Timor-Leste";"2019";"Gross Domestic Product (GDP)";"1583.71482670968"
"Togo";"2020";"Gross Domestic Product (GDP)";"863.144729894068"
"Togo";"2019";"Gross Domestic Product (GDP)";"853.009121244168"
"Tonga";"2020";"Gross Domestic Product (GDP)";"4646.10630841556"
"Tonga";"2019";"Gross Domestic Product (GDP)";"4865.49215429955"
"Trinidad and Tobago";"2020";"Gross Domestic Product (GDP)";"15285.9732543298"
"Trinidad and Tobago";"2019";"Gross Domestic Product (GDP)";"17123.2843189178"
"Tunisia";"2020";"Gross Domestic Product (GDP)";"3318.33335631969"
"Tunisia";"2019";"Gross Domestic Product (GDP)";"3351.53594468773"
"Turkey";"2020";"Gross Domestic Product (GDP)";"8538.1319256995"
"Turkey";"2019";"Gross Domestic Product (GDP)";"9121.48324876742"
"Turkmenistan";"2020";"Gross Domestic Product (GDP)";"7103.92192645861"
"Turkmenistan";"2019";"Gross Domestic Product (GDP)";"7314.04163711257"
"Turks and Caicos Islands";"2020";"Gross Domestic Product (GDP)";"23880.5434305344"
"Turks and Caicos Islands";"2019";"Gross Domestic Product (GDP)";"31353.3293184258"
"Tuvalu";"2020";"Gross Domestic Product (GDP)";"4648.34210392431"
"Tuvalu";"2019";"Gross Domestic Product (GDP)";"4652.22854389003"
"Uganda";"2020";"Gross Domestic Product (GDP)";"846.116480744515"
"Uganda";"2019";"Gross Domestic Product (GDP)";"852.014967698487"
"Ukraine";"2020";"Gross Domestic Product (GDP)";"3557.47735564211"
"Ukraine";"2019";"Gross Domestic Product (GDP)";"3498.90483012756"
"United Arab Emirates";"2020";"Gross Domestic Product (GDP)";"36284.547905631"
"United Arab Emirates";"2019";"Gross Domestic Product (GDP)";"42701.4299341838"
"United Kingdom of Great Britain and Northern Ireland";"2020";"Gross Domestic Product (GDP)";"40718.2218139912"
"United Kingdom of Great Britain and Northern Ireland";"2019";"Gross Domestic Product (GDP)";"42627.966539378"
"United Republic of Tanzania: Mainland";"2020";"Gross Domestic Product (GDP)";"1114.99624385539"
"United Republic of Tanzania: Mainland";"2019";"Gross Domestic Product (GDP)";"1082.42052789886"
"United Republic of Tanzania: Zanzibar";"2020";"Gross Domestic Product (GDP)";"1031.06703959605"
"United Republic of Tanzania: Zanzibar";"2019";"Gross Domestic Product (GDP)";"1110.84267086765"
"United States";"2020";"Gross Domestic Product (GDP)";"63122.5941450239"
"United States";"2019";"Gross Domestic Product (GDP)";"64949.4397483886"
"Uruguay";"2020";"Gross Domestic Product (GDP)";"15438.4013948404"
"Uruguay";"2019";"Gross Domestic Product (GDP)";"17688.0122214651"
"Uzbekistan";"2020";"Gross Domestic Product (GDP)";"1724.1877480419"
"Uzbekistan";"2019";"Gross Domestic Product (GDP)";"1750.25892482127"
"Vanuatu";"2020";"Gross Domestic Product (GDP)";"2783.02964417111"
"Vanuatu";"2019";"Gross Domestic Product (GDP)";"3115.35771152883"
"Venezuela (Bolivarian Republic of)";"2020";"Gross Domestic Product (GDP)";"3740.28736114037"
"Venezuela (Bolivarian Republic of)";"2019";"Gross Domestic Product (GDP)";"5264.84274676804"
"Viet Nam";"2020";"Gross Domestic Product (GDP)";"2785.724225314"
"Viet Nam";"2019";"Gross Domestic Product (GDP)";"2715.27587424366"
"Yemen";"2020";"Gross Domestic Product (GDP)";"937.382745095333"
"Yemen";"2019";"Gross Domestic Product (GDP)";"865.726138335618"
"Zambia";"2020";"Gross Domestic Product (GDP)";"985.132787628238"
"Zambia";"2019";"Gross Domestic Product (GDP)";"1305.06025959823"
"Zimbabwe";"2020";"Gross Domestic Product (GDP)";"1465.8450542437"
"Zimbabwe";"2019";"Gross Domestic Product (GDP)";"1497.73809249387"

